Column,Data_Type
posting_id,int64
job_title,object
original_job_title,object
noc_2016_code,float64
noc_2016_name,object
noc_2021_code,float64
noc_2021_name,object
external_indicator,int64
posting_date,object
vacancy_count,int64
official_language,object
education_level,object
experience_level,object
government_type,object
placement_agency,object
naics,object
province,object
city,object
work_location_postal_code,object
economic__region,object
various_location,object
employment_type,object
employment_term,object
employment_term_start_date,object
employment_term_end_date,object
employment_term_oncall,object
employment_term_overtime,object
employment_term_day,object
employment_term_evening,object
employment_term_shift,object
employment_term_weekend,object
employment_term_night,object
employment_term_telework,object
employment_term_early,object
employment_term_flex,object
employment_term_morning,object
employment_term_tbd,object
salary_condition_detail,object
salary_period,object
salary_minimum,float64
salary_maximum,float64
salary_condition_collective,object
salary_condition_bonus,object
salary_condition_disability,object
salary_condition_gratuity,object
salary_condition_medical,object
salary_condition_mileage,object
salary_condition_piecework,object
salary_condition_commission,object
salary_condition_resp,object
salary_condition_dental,object
salary_condition_group_insurance,object
salary_condition_life_insurance,object
salary_condition_pension,object
salary_condition_rrsp,object
condition_vision_care,object
salary_condition_other_benefits,object
commission_per,object
commission_type,object
hours_per,object
hours_minimum,float64
hours_maximum,float64
work_hours,object
work_hours_from_time,object
work_hours_to_time,object
