Column,Missing_Count,Missing_Percentage
commission_type,54894,99.64
commission_per,54894,99.64
employment_term_end_date,54660,99.22
work_hours_to_time,54209,98.4
work_hours_from_time,54209,98.4
employment_term_start_date,49111,89.15
original_job_title,33737,61.24
government_type,33369,60.57
salary_condition_gratuity,33112,60.1
salary_condition_disability,33112,60.1
salary_condition_bonus,33112,60.1
employment_term_tbd,33112,60.1
salary_condition_collective,33112,60.1
salary_condition_mileage,33112,60.1
employment_term_morning,33112,60.1
employment_term_flex,33112,60.1
salary_condition_medical,33112,60.1
salary_condition_resp,33112,60.1
salary_condition_piecework,33112,60.1
salary_condition_commission,33112,60.1
employment_term_night,33112,60.1
salary_condition_dental,33112,60.1
salary_condition_group_insurance,33112,60.1
salary_condition_life_insurance,33112,60.1
salary_condition_pension,33112,60.1
salary_condition_rrsp,33112,60.1
condition_vision_care,33112,60.1
salary_condition_other_benefits,33112,60.1
hours_per,33112,60.1
employment_term_early,33112,60.1
employment_term_telework,33112,60.1
employment_term_weekend,33112,60.1
employment_term_overtime,33112,60.1
experience_level,33112,60.1
employment_term_oncall,33112,60.1
naics,33112,60.1
education_level,33112,60.1
employment_term_day,33112,60.1
employment_term_evening,33112,60.1
employment_term_shift,33112,60.1
placement_agency,33112,60.1
hours_minimum,30084,54.61
hours_maximum,30084,54.61
work_location_postal_code,29495,53.54
employment_term,12580,22.83
employment_type,2032,3.69
economic__region,409,0.74
city,409,0.74
noc_2016_name,375,0.68
noc_2016_code,375,0.68
noc_2021_name,370,0.67
noc_2021_code,370,0.67
salary_period,115,0.21
salary_maximum,15,0.03
salary_minimum,15,0.03
salary_condition_detail,14,0.03
work_hours,0,0.0
province,0,0.0
external_indicator,0,0.0
posting_date,0,0.0
vacancy_count,0,0.0
official_language,0,0.0
job_title,0,0.0
various_location,0,0.0
posting_id,0,0.0
