Column,Unique_Values
ythWIC Job Location Snapshot ID,55091
Job Title,6788
Original Job Title,12047
NOC 2016 Code,483
NOC 2016 Code Name,483
NOC21 Code,500
NOC21 Code Name,500
External Indicator,2
First Posting Date,30
Vacancy Count,57
Official Language,5
Education LOS,11
Experience Level,7
Government Type,4
Placement Agency,2
NAICS,26
Province/Territory,13
City,2662
Work Location Postal Code,15677
Economic  Region,76
Various Location,1
Employment Type,3
Employment Term,4
Employment Term Start Date,228
Employment Term End Date,211
Employment Term Oncall,2
Employment Term Overtime,2
Employment Term Day,2
Employment Term Evening,2
Employment Term Shift,2
Employment Term Weekend,2
Employment Term Night,2
Employment Term Telework,1
Employment Term Early,2
Employment Term Flex,2
Employment Term Morning,2
Employment Term TBD,2
Salary Condition Detail,10687
Salary Per,6
Salary Minimum,4474
Salary Maximum,4856
Salary Condition Collective,1
Salary Condition Bonus,1
Salary Condition Disability,1
Salary Condition Gratuity,1
Salary Condition Medical,1
Salary Condition Mileage,1
Salary Condition Piecework,1
Salary Condition Commission,1
Salary Condition RESP,1
Salary Condition Dental,1
Salary Condition Group Insurance,1
Salary Condition Life Insurance,1
Salary Condition Pension,1
Salary Condition RRSP,1
Condition Vision Care,1
Salary Condition Other Benefits,1
Commission PER,5
Commission Type,2
Hours Per,4
Hours Minimum,152
Hours Maximum,161
Work Hours,2
Work Hours From Time,45
Work Hours To Time,46
