noc_2021_code,noc_title,total_postings,total_vacancies
63200.0,Cooks,2525,3847
64100.0,Retail salespersons and visual merchandisers,1876,2449
65201.0,"Food counter attendants, kitchen helpers and related support occupations",1640,3111
73300.0,Transport truck drivers,1423,3705
60030.0,Restaurant and food service managers,1139,1473
62020.0,Food service supervisors,1061,2524
44100.0,Home child care providers,1050,1063
65310.0,Light duty cleaners,1038,1626
44101.0,"Home support workers, caregivers and related occupations",991,1398
62200.0,Chefs,888,1031
75110.0,Construction trades helpers and labourers,850,1882
14101.0,Receptionists,822,833
33102.0,"Nurse aides, orderlies and patient service associates",819,1172
72310.0,Carpenters,813,1486
13110.0,Administrative assistants,812,890
72410.0,"Automotive service technicians, truck and bus mechanics and mechanical repairers",693,1034
41220.0,Secondary school teachers,681,740
13100.0,Administrative officers,676,1709
60020.0,Retail and wholesale trade managers,650,680
42202.0,Early childhood educators and assistants,638,981
